index,longitude,latitude,std_geohash_code,std_geohash_diff,std_geohash_abs_diff,mbr_geohash_code,mbr_geohash_diff,mbr_geohash_abs_diff,hilbert_code,hilbert_diff,hilbert_abs_diff
39,116.31191700,39.98464700,2034400843790504,-1039,1039,367004214344,-2178,2178,366719808742,-937,937
40,116.31172000,39.98465400,2034400843786746,-3758,3758,367004206795,-7549,7549,366719805318,-3424,3424
41,116.31156900,39.98463100,2034400843775455,-11291,11291,367004184246,-22549,22549,366719850861,45543,45543
42,116.31138000,39.98464700,2034400843774456,-999,999,367004182122,-2124,2124,366719851989,1128,1128
43,116.31118900,39.98465300,2034400843771371,-3085,3085,367004175939,-6183,6183,366719847272,-4717,4717
44,116.31102600,39.98462800,2034400843770316,-1055,1055,367004173846,-2093,2093,366719846295,-977,977
45,116.31085400,39.98465200,2034400843726318,-43998,43998,367004085481,-88365,88365,366719865367,19072,19072
46,116.31066000,39.98465600,2034400843725588,-730,730,367004083393,-2088,2088,366719868033,2666,2666
47,116.31053400,39.98461600,2034400843722197,-3391,3391,367004077243,-6150,6150,366719869676,1643,1643
48,116.31033000,39.98467600,2034400843721546,-651,651,367004075128,-2115,2115,366719872110,2434,2434
49,116.31006300,39.98469800,2034400843710015,-11531,11531,367004051030,-24098,24098,366719891287,19177,19177
50,116.30993700,39.98469600,2034400843709055,-960,960,367004045012,-6018,6018,366719885590,-5697,5697
51,116.30985100,39.98466300,2034400843706199,-2856,2856,367004044398,-614,614,366719886041,451,451
52,116.30974900,39.98459800,2034400843705458,-741,741,367004042766,-1632,1632,366719887115,1074,1074
53,116.30965600,39.98454000,2034400843703245,-2213,2213,367004041552,-1214,1214,366719887706,591,591
54,116.30950300,39.98452500,2034400843528062,-175183,175183,367002642764,-1398788,1398788,366717081544,-2806162,2806162
55,116.30934800,39.98449800,2034400843527689,-373,373,367002640671,-2093,2093,366717079856,-1688,1688
56,116.30917300,39.98448100,2034400843526315,-1374,1374,367002634513,-6158,6158,366717078937,-919,919
57,116.30899300,39.98448900,2034400843522901,-3414,3414,367002610612,-23901,23901,366717097188,18251,18251
58,116.30882700,39.98447000,2034400843522210,-691,691,367002608527,-2085,2085,366717098186,998,998
59,116.30863800,39.98449000,2034400843510611,-11599,11599,367002602294,-6233,6233,366717101197,3011,3011
60,116.30848500,39.98449000,2034400843510275,-336,336,367002600254,-2040,2040,366717102211,1014,1014
61,116.30835100,39.98449400,2034400843507266,-3009,3009,367002512308,-87946,87946,366717123654,21443,21443
62,116.30820100,39.98449900,2034400843506264,-1002,1002,367002510269,-2039,2039,366717121131,-2523,2523
63,116.30804900,39.98448400,2034400843462229,-44035,44035,367002509585,-684,684,366717121457,326,326
64,116.30790200,39.98449100,2034400843461394,-835,835,367002503454,-6131,6131,366717119795,-1662,1662
65,116.30780900,39.98449900,2034400843461133,-261,261,367002501909,-1545,1545,366717118655,-1140,1140
66,116.30768700,39.98447200,2034400843457778,-3355,3355,367002479504,-22405,22405,366717163130,44475,44475
67,116.30754800,39.98449300,2034400843457286,-492,492,367002477494,-2010,2010,366717162189,-941,941
68,116.30743400,39.98448800,2034400843446097,-11189,11189,367002476860,-634,634,366717161768,-421,421
69,116.30729200,39.98442700,2034400843445286,-811,811,367002470620,-6240,6240,366717161016,-752,752
70,116.30712600,39.98442800,2034400843444263,-1023,1023,367002468566,-2054,2054,366717157527,-3489,3489
71,116.30694300,39.98443200,2034400843441193,-3070,3070,367002118261,-350305,350305,366717179631,22104,22104
72,116.30680100,39.98442500,2034400843440183,-1010,1010,367002116308,-1953,1953,366717180438,807,807
73,116.30663300,39.98443800,2034400842740799,-699384,699384,367002110248,-6060,6060,366717183804,3366,3366
74,116.30648600,39.98446200,2034400842739930,-869,869,367002108294,-1954,1954,366717184839,1035,1035
75,116.30630000,39.98446600,2034400842736865,-3065,3065,367002085669,-22625,22625,366717205941,21102,21102
76,116.30604700,39.98445600,2034400842724812,-12053,12053,367002077964,-7705,7705,366717201928,-4013,4013
77,116.30585400,39.98445400,2034400842723740,-1072,1072,367002075534,-2430,2430,366717200841,-1087,1087
78,116.30568200,39.98441200,2034400842720540,-3200,3200,367001987283,-88251,88251,366717408402,207561,207561
79,116.30546600,39.98441000,2034400842719324,-1216,1216,367001979640,-7643,7643,366717407150,-1252,1252
80,116.30528100,39.98440600,2034400842675271,-44053,44053,367001977554,-2086,2086,366717403577,-3573,3573
81,116.30502300,39.98439300,2034400842665967,-9304,9304,367001954412,-23142,23142,366717425368,21791,21791
82,116.30490900,39.98435600,2034400842665620,-347,347,367001952446,-1966,1966,366717426241,873,873
83,116.30470400,39.98435200,2034400842664490,-1130,1130,367001946174,-6272,6272,366717429377,3136,3136
84,116.30454300,39.98433800,2034400842653220,-11270,11270,367001944122,-2052,2052,366717430415,1038,1038
85,116.30431500,39.98433800,2034400842649397,-3823,3823,366979572370,-22371752,22371752,366738420089,20989674,20989674
86,116.30408300,39.98434900,2034400842648184,-1213,1213,366979565723,-6647,6647,366738418804,-1285,1285
87,116.30393400,39.98436800,2034400842473352,-174832,174832,366979563703,-2020,2020,366738418406,-398,398
88,116.30381300,39.98443700,2034400842477934,4582,4582,366979541794,-21909,21909,366738462267,43861,43861
89,116.30367200,39.98442900,2034400842474871,-3063,3063,366979539671,-2123,2123,366738461500,-767,767
90,116.30344400,39.98434200,2034400842468147,-6724,6724,366979532976,-6695,6695,366738460384,-1116,1116
91,116.30329800,39.98436500,2034400842457030,-11117,11117,366979530943,-2033,2033,366738456768,-3616,3616
92,116.30313200,39.98436800,2034400842456013,-1017,1017,366979442877,-88066,88066,366738478659,21891,21891
93,116.30292000,39.98438500,2034400842452903,-3110,3110,366979440737,-2140,2140,366738479825,1166,1166
94,116.30275400,39.98438000,2034400842451888,-1015,1015,366979434569,-6168,6168,366738482893,3068,3068
95,116.30260100,39.98434600,2034400842407784,-44104,44104,366979432497,-2072,2072,366738483849,956,956
96,116.30245700,39.98430300,2034400842406393,-1391,1391,366979409962,-22535,22535,366738505407,21558,21558
97,116.30227100,39.98434400,2034400842403686,-2707,2707,366979407897,-2065,2065,366738501687,-3720,3720
98,116.30209400,39.98434100,2034400842402659,-1027,1027,366979400378,-7519,7519,366738500549,-1138,1138
99,116.30188800,39.98435900,2034400842391429,-11230,11230,366979050044,-350334,350334,366739363112,862563,862563
100,116.30169300,39.98437900,2034400842390260,-1169,1169,366979047659,-2385,2385,366739361942,-1170,1170
101,116.30150000,39.98434500,2034400842387052,-3208,3208,366979041427,-6232,6232,366739361490,-452,452
102,116.30130900,39.98434500,2034400842385981,-1071,1071,366979039259,-2168,2168,366739357748,-3742,3742
103,116.30110700,39.98433800,2034400831200801,-11185180,11185180,366979015322,-23937,23937,366739380597,22849,22849
104,116.30087700,39.98434400,2034400831196982,-3819,3819,366979008691,-6631,6631,366739383880,3283,3283
105,116.30067400,39.98427800,2034400831195522,-1460,1460,366978995571,-13120,13120,366739330402,-53478,53478
106,116.30046200,39.98427600,2034400831184067,-11455,11455,366978906073,-89498,89498,366739407901,77499,77499
107,116.30030700,39.98427800,2034400831183058,-1009,1009,366978899953,-6120,6120,366739421857,13956,13956
108,116.30015600,39.98425200,2034400831180064,-2994,2994,366978897894,-2059,2059,366739422237,380,380
109,116.29994300,39.98428800,2034400831178954,-1110,1110,366978875230,-22664,22664,366739423313,1076,1076
110,116.29981000,39.98428300,2034400831134941,-44013,44013,366978873299,-1931,1931,366739424280,967,967
111,116.29974400,39.98433500,2034400831135269,328,328,366978883738,10439,10439,366739443829,19549,19549
112,116.29970300,39.98431200,2034400831134191,-1078,1078,366978883595,-143,143,366739443718,-111,111
113,116.29969900,39.98417700,2034400831132525,-1666,1666,366978872587,-11008,11008,366739424686,-19032,19032
114,116.29969700,39.98414000,2034400831132142,-383,383,366978872409,-178,178,366739424861,175,175
115,116.29972100,39.98420400,2034400831132639,497,497,366978872634,225,225,366739424645,-216,216
116,116.29973600,39.98425800,2034400831134758,2119,2119,366978872780,146,146,366739424546,-99,99
117,116.29957300,39.98403100,2034400831109775,-24983,24983,366978866306,-6474,6474,366739437803,13257,13257
118,116.29957800,39.98379000,2034400831107256,-2519,2519,366978865293,-1013,1013,366739436771,-1032,1032
119,116.29956600,39.98372600,2034400831107084,-172,172,366978862544,-2749,2749,366739431728,-5043,5043
120,116.29949600,39.98369200,2034400831098801,-8283,8283,366978861000,-1544,1544,366739435150,3422,3422
121,116.29947600,39.98368500,2034400831098763,-38,38,366978860861,-139,139,366739435049,-101,101
122,116.29942500,39.98363900,2034400831098440,-323,323,366978860452,-409,409,366739435356,307,307
123,116.29935300,39.98362900,2034400831097668,-772,772,366977462184,-1398268,1398268,366739476566,41210,41210
124,116.29927900,39.98364100,2034400831097432,-236,236,366977461678,-506,506,366739476977,411,411
125,116.29923500,39.98355700,2034400831096858,-574,574,366977461352,-326,326,366739477118,141,141
126,116.29923800,39.98350900,2034400831095449,-1409,1409,366977461294,-58,58,366739477179,61,61
127,116.29926700,39.98341300,2034400831094980,-469,469,366977460663,-631,631,366739478380,1201,1201
128,116.29930500,39.98335300,2034400831007651,-87329,87329,366977461024,361,361,366739477680,-700,700
129,116.29932100,39.98333700,2034400831007640,-11,11,366977460862,-162,162,366739477993,313,313
130,116.29931400,39.98330000,2034400831007503,-137,137,366977460844,-18,18,366739477976,-17,17
131,116.29931400,39.98330000,2034400831007503,0,0,366977460844,0,0,366739477976,0,0
132,116.29930700,39.98330400,2034400831007524,21,21,366977460838,-6,6,366739477981,5,5
133,116.29931100,39.98327900,2034400831007150,-374,374,366977460791,-47,47,366739477892,-89,89
134,116.29930200,39.98330200,2034400831007499,349,349,366977460836,45,45,366739477982,90,90
135,116.29926500,39.98327600,2034400831006956,-543,543,366977460405,-431,431,366739478085,103,103
136,116.29919100,39.98332200,2034400830996346,-10610,10610,366977458930,-1475,1475,366739478793,708,708
137,116.29914700,39.98340300,2034400831083832,87486,87486,366977458998,68,68,366739478669,-124,124
138,116.29908300,39.98354800,2034400831085634,1802,1802,366977459349,351,351,366739479765,1096,1096
139,116.29903100,39.98367500,2034400831085526,-108,108,366977454012,-5337,5337,366739480642,877,877
140,116.29893200,39.98366300,2034400831085178,-348,348,366977453464,-548,548,366739481054,412,412
141,116.29890300,39.98353300,2034400831083196,-1982,1982,366977453105,-359,359,366739481227,173,173
142,116.29886900,39.98359000,2034400831084674,1478,1478,366977451762,-1343,1343,366739484067,2840,2840
143,116.29882500,39.98372300,2034400831087944,3270,3270,366977451890,128,128,366739484363,296,296
144,116.29877300,39.98390200,2034400831089758,1814,1814,366977454473,2583,2583,366739485165,802,802
145,116.29872500,39.98404500,2034400831090361,603,603,366977455107,634,634,366739488424,3259,3259
146,116.29866300,39.98401900,2034400831089606,-755,755,366977432436,-22671,22671,366739492452,4028,4028
147,116.28679800,39.99577700,2034401188844950,357755344,357755344,366972787358,-4645078,4645078,366746689499,7197047,7197047
148,116.28544600,39.99683200,2034401188820454,-24496,24496,366972442796,-344562,344562,366745886450,-803049,803049
149,116.29929200,39.98439700,2034400831130367,-357690087,357690087,366977477197,5034401,5034401,366739472203,-6414247,6414247
150,116.29932900,39.98442600,2034400831136054,5687,5687,366977477334,137,137,366739472279,76,76
151,116.29941300,39.98449900,2034400831137305,1251,1251,366978875805,1398471,1398471,366739440507,-31772,31772
152,116.29946700,39.98442400,2034400831136885,-420,420,366978876020,215,215,366739440070,-437,437
153,116.29947700,39.98441000,2034400831137033,148,148,366978876024,4,4,366739440076,6,6
154,116.29956900,39.98442100,2034400831139876,2843,2843,366978877654,1630,1630,366739443261,3185,3185
155,116.29953000,39.98451800,2034400831137645,-2231,2231,366978877763,109,109,366739443048,-213,213
156,116.29964500,39.98448800,2034400831140609,2964,2964,366978878356,593,593,366739442814,-234,234
157,116.29952300,39.98454000,2034400831137740,-2869,2869,366978876410,-1946,1946,366739440293,-2521,2521
158,116.29952800,39.98446000,2034400831137231,-509,509,366978877700,1290,1290,366739443110,2817,2817
159,116.29950800,39.98446300,2034400831137205,-26,26,366978876327,-1373,1373,366739440220,-2890,2890
160,116.29947300,39.98450100,2034400831137547,342,342,366978876221,-106,106,366739440169,-51,51
161,116.29945100,39.98453200,2034400831137491,-56,56,366978876231,10,10,366739440366,197,197
162,116.29945100,39.98453200,2034400831137491,0,0,366978876231,0,0,366739440366,0,0
163,116.29945100,39.98452700,2034400831137489,-2,2,366978876230,-1,1,366739440365,-1,1
164,116.29944700,39.98451700,2034400831137400,-89,89,366978876225,-5,5,366739440363,-2,2
165,116.29943800,39.98450900,2034400831137380,-20,20,366978875882,-343,343,366739440447,84,84
166,116.29941100,39.98449700,2034400831137305,-75,75,366978875799,-83,83,366739440508,61,61
167,116.29940500,39.98449900,2034400831137304,-1,1,366978875797,-2,2,366739440511,3,3
168,116.29940700,39.98449800,2034400831137304,0,0,366978875797,0,0,366739440511,0,0
169,116.29940700,39.98449800,2034400831137304,0,0,366978875797,0,0,366739440511,0,0
170,116.29941200,39.98449300,2034400831137299,-5,5,366978875798,1,1,366739440509,-2,2
171,116.29946600,39.98449800,2034400831137373,74,74,366978876213,415,415,366739440165,-344,344
172,116.29941000,39.98454600,2034400831137435,62,62,366978875858,-355,355,366739440411,246,246
173,116.29931800,39.98463800,2034400831138224,789,789,366977478207,-1397651,1397651,366739471232,30821,30821
174,116.29931500,39.98473000,2034400831138727,503,503,366977478444,237,237,366739470872,-360,360
175,116.29930500,39.98475300,2034400832536841,1398114,1398114,366977478449,5,5,366739470881,9,9
176,116.29929700,39.98478900,2034400832536960,119,119,366977478475,26,26,366739470918,37,37
177,116.29939100,39.98479500,2034400832537737,777,777,366978876774,1398299,1398299,366739441015,-29903,29903
178,116.29950400,39.98477800,2034400832537916,179,179,366978877408,634,634,366739441338,323,323
179,116.29961700,39.98474300,2034400832540741,2825,2825,366978879256,1848,1848,366739442230,892,892
180,116.29962500,39.98467100,2034400831142489,-1398252,1398252,366978879077,-179,179,366739442549,319,319
181,116.29953600,39.98469400,2034400831139706,-2783,2783,366978878556,-521,521,366739441912,-637,637
182,116.29952000,39.98473300,2034400831139817,111,111,366978877358,-1198,1198,366739441403,-509,509
183,116.29990200,39.98384100,2034400831152769,12952,12952,366978873547,-3811,3811,366739426444,-14959,14959
184,116.30017700,39.98386100,2034400831154074,1305,1305,366978898008,24461,24461,366739420254,-6190,6190
185,116.30032900,39.98384200,2034400831157120,3046,3046,366978904132,6124,6124,366739409510,-10744,10744
186,116.30030800,39.98398400,2034400831158872,1752,1752,366978898916,-5216,5216,366739420830,11320,11320
187,116.30018800,39.98412600,2034400831178166,19294,19294,366978899045,129,129,366739421301,471,471
188,116.30005800,39.98424600,2034400831179102,936,936,366978897353,-1692,1692,366739423117,1816,1816
189,116.30001900,39.98437300,2034400831179678,576,576,366978908232,10879,10879,366739401324,-21793,21793
190,116.30004300,39.98453300,2034400831185863,6185,6185,366978908527,295,295,366739401082,-242,242
191,116.30005800,39.98472300,2034400831187956,2093,2093,366978909577,1050,1050,366739400135,-947,947
192,116.30015100,39.98478900,2034400832586965,1399009,1399009,366978910177,600,600,366739399731,-404,404
193,116.30021600,39.98483700,2034400832587591,626,626,366978911703,1526,1526,366739399614,-117,117
194,116.30033200,39.98485900,2034400832590627,3036,3036,366978920449,8746,8746,366739393195,-6419,6419
195,116.30051400,39.98488800,2034400832591759,1132,1132,366978922547,2098,2098,366739392136,-1059,1059
196,116.30068900,39.98489600,2034400832603045,11286,11286,366979010708,88161,88161,366739386492,-5644,5644
197,116.30088500,39.98490500,2034400832604136,1091,1091,366979012799,2091,2091,366739387584,1092,1092
198,116.30104900,39.98491100,2034400832607166,3030,3030,366979018943,6144,6144,366739376874,-10710,10710
199,116.30122100,39.98492500,2034400832609564,2398,2398,366979021379,2436,2436,366739378024,1150,1150
200,116.30139100,39.98493000,2034400843794718,11185154,11185154,366979043918,22539,22539,366739372491,-5533,5533
201,116.30156800,39.98493800,2034400843795765,1047,1047,366979045996,2078,2078,366739371480,-1011,1011
202,116.30174100,39.98494800,2034400843798845,3080,3080,366979052242,6246,6246,366739366707,-4773,4773
203,116.30191500,39.98494500,2034400843799906,1061,1061,366979054309,2067,2067,366739367327,620,620
204,116.30205500,39.98495300,2034400843811118,11212,11212,366979404410,350101,350101,366738496367,-870960,870960
205,116.30226400,39.98495300,2034400843812203,1085,1085,366979412050,7640,7640,366738492153,-4214,4214
206,116.30248800,39.98496000,2034400843816069,3866,3866,366979414265,2215,2215,366738490887,-1266,1266
207,116.30267900,39.98497300,2034400843860126,44057,44057,366979437173,22908,22908,366738486095,-4792,4792
208,116.30286000,39.98498300,2034400843861218,1092,1092,366979439488,2315,2315,366738486848,753,753
209,116.30303700,39.98500900,2034400843864643,3425,3425,366979445647,6159,6159,366738475104,-11744,11744
210,116.30325800,39.98504300,2034400843865988,1345,1345,366979535167,89520,89520,366738471722,-3382,3382
211,116.30349600,39.98503000,2034400843877239,11251,11251,366979537721,2554,2554,366738470023,-1699,1699
212,116.30368500,39.98503900,2034400843881006,3767,3767,366979543988,6267,6267,366738465484,-4539,4539
213,116.30388400,39.98502800,2034400843882039,1033,1033,366979567899,23911,23911,366738413982,-51502,51502
214,116.30406700,39.98499300,2034400844056809,174770,174770,366979570049,2150,2150,366738415081,1099,1099
215,116.30416300,39.98502700,2034400844057447,638,638,366979570587,538,538,366738415326,245,245
216,116.30426000,39.98503800,2034400844058235,788,788,366979576252,5665,5665,366738410344,-4982,4982
217,116.30445900,39.98504200,2034400844061572,3337,3337,366979578685,2433,2433,366738408577,-1767,1767
218,116.30464700,39.98502900,2034400844062515,943,943,367001949083,22370398,22370398,366717432542,-20976035,20976035
219,116.30481100,39.98502300,2034400844073776,11261,11261,367001951152,2069,2069,366717433440,898,898
220,116.30492700,39.98503100,2034400844074601,825,825,367001957147,5995,5995,366717421750,-11690,11690
221,116.30519200,39.98508200,2034400844078063,3462,3462,367001981381,24234,24234,366717418373,-3377,3377
222,116.30534800,39.98510500,2034400844084554,6491,6491,367001983358,1977,1977,366717417409,-964,964
223,116.30549900,39.98513200,2034400844128656,44102,44102,367001990179,6821,6821,366717415064,-2345,2345
224,116.30564900,39.98516900,2034400844129706,1050,1050,367001992222,2043,2043,366717413427,-1637,1637
225,116.30583400,39.98513500,2034400844132742,3036,3036,367002080302,88080,88080,366717195963,-217464,217464
226,116.30598400,39.98514600,2034400844133598,856,856,367002082343,2041,2041,366717194910,-1053,1053
227,116.30617800,39.98513100,2034400844145029,11431,11431,367002088609,6266,6266,366717193459,-1451,1451
228,116.30636300,39.98512700,2034400844145979,950,950,367002091011,2402,2402,366717190914,-2545,2545
229,116.30653100,39.98513500,2034400844149138,3159,3159,367002113548,22537,22537,366717189538,-1376,1376
230,116.30671100,39.98515700,2034400844150198,1060,1060,367002115640,2092,2092,366717188398,-1140,1140
231,116.30689300,39.98517000,2034400844849642,699444,699444,367002121884,6244,6244,366717175762,-12636,12636
232,116.30709200,39.98515400,2034400844850673,1031,1031,367002473496,351612,351612,366717172790,-2972,2972
233,116.30734100,39.98518400,2034400844854861,4188,4188,367002476063,2567,2567,366717170480,-2310,2310
234,116.30751000,39.98521000,2034400844866159,11298,11298,367002482278,6215,6215,366717169117,-1363,1363
235,116.30763300,39.98523100,2034400844867214,1055,1055,367002483955,1677,1677,366717167778,-1339,1339
236,116.30773500,39.98526000,2034400844868881,1667,1667,367002506504,22549,22549,366717113772,-54006,54006
237,116.30793300,39.98524000,2034400844870628,1747,1747,367002508502,1998,1998,366717112855,-917,917
238,116.30813300,39.98522500,2034400844871645,1017,1017,367002515026,6524,6524,366717111795,-1060,1060
239,116.30831300,39.98525600,2034400844916394,44749,44749,367002517282,2256,2256,366717108377,-3418,3418
240,116.30857900,39.98521800,2034400844919684,3290,3290,367002606797,89515,89515,366717106315,-2062,2062
241,116.30877400,39.98520100,2034400844920630,946,946,367002613315,6518,6518,366717093698,-12617,12617
242,116.30898000,39.98520300,2034400844931961,11331,11331,367002615500,2185,2185,366717092130,-1568,1568
243,116.30915200,39.98522100,2034400844933075,1114,1114,367002638064,22564,22564,366717091232,-898,898
244,116.30931000,39.98519400,2034400844936036,2961,2961,367002640075,2011,2011,366717088646,-2586,2586
245,116.30949400,39.98516100,2034400844936697,661,661,367002647569,7494,7494,366717085755,-2891,2891
246,116.30970100,39.98519000,2034400845112847,176150,176150,367004046530,1398961,1398961,366719882793,2797038,2797038
247,116.30988800,39.98520200,2034400845115958,3111,3111,367004048620,2090,2090,366719881784,-1009,1009
248,116.30998000,39.98528200,2034400845117749,1791,1791,367004054791,6171,6171,366719881134,-650,650
249,116.30998000,39.98544300,2034400845140253,22504,22504,367004753942,699151,699151,366718488599,-1392535,1392535
250,116.30996900,39.98557900,2034400845140913,660,660,367004748732,-5210,5210,366718487618,-981,981
251,116.30996100,39.98572100,2034400845142840,1927,1927,367004749495,763,763,366718487526,-92,92
252,116.30994100,39.98584000,2034400845148576,5736,5736,367004749715,220,220,366718487256,-270,270
253,116.30997800,39.98595000,2034400845150487,1911,1911,367004758020,8305,8305,366718492686,5430,5430
254,116.31003400,39.98605100,2034400845151777,1290,1290,367004758235,215,215,366718492852,166,166
255,116.31002500,39.98617400,2034400845239434,87657,87657,367004758482,247,247,366718493073,221,221
256,116.30995600,39.98630500,2034400845240591,1157,1157,367004753637,-4845,4845,366718497717,4644,4644
257,116.30988500,39.98646100,2034400845246484,5893,5893,367004753404,-233,233,366718497026,-691,691
258,116.30986200,39.98661100,2034400845247137,653,653,367004764375,10971,10971,366718502038,5012,5012
259,116.30989300,39.98669700,2034400845248693,1556,1556,367004764651,276,276,366718502716,678,678
260,116.30995600,39.98679300,2034400845249453,760,760,367004765873,1222,1222,366718503265,549,549
261,116.30997400,39.98692900,2034400845271870,22417,22417,367004766139,266,266,366718503526,261,261
262,116.30998700,39.98707300,2034400845273929,2059,2059,367004774428,8289,8289,366718509106,5580,5580
263,116.31000400,39.98721100,2034400845279728,5799,5799,367004774710,282,282,366718509959,853,853
264,116.31007000,39.98732500,2034400845282370,2642,2642,367004775949,1239,1239,366718511011,1052,1052
265,116.31008400,39.98745800,2034400845283021,651,651,367004776231,282,282,366718510620,-391,391
266,116.31008800,39.98759100,2034400845633103,350082,350082,367004820013,43782,43782,366718720401,209781,209781
267,116.31004900,39.98774700,2034400845635088,1985,1985,367004819897,-116,116,366718720871,470,470
268,116.31002700,39.98788400,2034400845640834,5746,5746,367004820633,736,736,366718721245,374,374
269,116.31005900,39.98800800,2034400845642772,1938,1938,367004821264,631,631,366718721552,307,307
270,116.31005200,39.98811100,2034400845643313,541,541,367004823722,2458,2458,366718716671,-4881,4881
271,116.30990200,39.98829300,2034400845664873,21560,21560,367004818195,-5527,5527,366718727698,11027,11027
272,116.30993100,39.98839700,2034400845666518,1645,1645,367004818987,792,792,366718728510,812,812
273,116.30986600,39.98855300,2034400845672492,5974,5974,367004818840,-147,147,366718729076,566,566
274,116.30982400,39.98867900,2034400845670380,-2112,2112,367004829703,10863,10863,366718733988,4912,4912
275,116.30978400,39.98877200,2034400845671855,1475,1475,367004828380,-1323,1323,366718730674,-3314,3314
276,116.30979300,39.98890100,2034400845759802,87947,87947,367004828635,255,255,366718730932,258,258
277,116.30983300,39.98902900,2034400845760506,704,704,367004830810,2175,2175,366718732533,1601,1601
278,116.30986600,39.98917300,2034400845765260,4754,4754,367004831193,383,383,366718732701,168,168
279,116.30990500,39.98928700,2034400845770987,5727,5727,367004834380,3187,3187,366718744008,11307,11307
280,116.30994900,39.98939200,2034400845773065,2078,2078,367004834716,336,336,366718743768,-240,240
